manufacturer,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,gwp_error_ratio,gwp_manufacturing_ratio,assembly_location,server_type,gwp_transport_ratio,gwp_eol_ratio
Apple,Workplace,Laptop,161,0.1500,,3,WW,0.0000,0.7600,,,0.0800,
Apple,Workplace,Laptop,181,0.1500,,3,WW,0.0000,0.7600,,,0.0800,
Apple,Workplace,Laptop,174,0.1500,,3,WW,0.0000,0.7700,,,0.0700,
Apple,Workplace,Laptop,202,0.1500,,3,WW,0.0000,0.7700,,,0.0700,
Apple,Workplace,Laptop,298,0.1900,,3,WW,0.0000,0.7300,,,0.0700,
Apple,Workplace,Laptop,251,0.1900,,3,WW,0.0000,0.7300,,,0.0700,
Apple,Workplace,Laptop,212,0.1900,,3,WW,0.0000,0.7300,,,0.0700,
Apple,Workplace,Laptop,233,0.1900,,3,WW,0.0000,0.7300,,,0.0700,
Apple,Workplace,Laptop,185,0.1900,,3,WW,0.0000,0.7300,,,0.0700,
Apple,Workplace,Laptop,207,0.1900,,3,WW,0.0000,0.7300,,,0.0700,
Apple,Workplace,Laptop,217,0.1700,,3,WW,0.0000,0.7600,,,0.0600,
Apple,Workplace,Laptop,251,0.1700,,3,WW,0.0000,0.7600,,,0.0600,
Apple,Workplace,Laptop,439,0.1200,,3,WW,0.0000,0.8400,,,0.0300,
Apple,Workplace,Laptop,307,0.22,,3,WW,0.0000,0.72,,,0.0500,
Apple,Workplace,Laptop,271,0.22,,3,WW,0.0000,0.72,,,0.0500,
Apple,Workplace,Laptop,352,0.1900,,3,WW,0.0000,0.7500,,,0.0500,
Apple,Workplace,Laptop,385,0.1900,,3,WW,0.0000,0.7500,,,0.0500,
Apple,Workplace,Laptop,592,0.1700,,3,WW,0.0000,0.7900,,,0.0300,
Apple,Workplace,Laptop,382,0.27,,3,WW,0.0000,0.66,,,0.0500,
Apple,Workplace,Laptop,395,0.27,,3,WW,0.0000,0.66,,,0.0600,
Apple,Workplace,Laptop,349,0.27,,3,WW,0.0000,0.66,,,0.0600,
Apple,Workplace,Laptop,394,0.1900,,3,WW,0.0000,0.7500,,,0.0500,
Apple,Workplace,Laptop,465,0.1900,,3,WW,0.0000,0.7500,,,0.0500,
Apple,Workplace,Desktop,588,0.51,,3,WW,0.0000,0.43,,,0.0500,
Apple,Workplace,Desktop,596,0.51,,3,WW,0.0000,0.43,,,0.0500,
Apple,Workplace,Desktop,481,0.44,,3,WW,0.0000,0.45,,,0.1000,
Apple,Workplace,Desktop,486,0.44,,3,WW,0.0000,0.45,,,0.1000,
Apple,Workplace,Desktop,511,0.44,,3,WW,0.0000,0.45,,,0.1000,
Apple,Workplace,Desktop,824,0.45,,3,WW,0.0000,0.46,,,0.0800,
Apple,Workplace,Desktop,857,0.45,,3,WW,0.0000,0.46,,,0.0800,
Apple,Workplace,Desktop,858,0.45,,3,WW,0.0000,0.46,,,0.0800,
Apple,Workplace,Desktop,938,0.45,,3,WW,0.0000,0.46,,,0.0800,
Apple,Workplace,Desktop,938,0.45,,3,WW,0.0000,0.46,,,0.0800,
Apple,Workplace,Desktop,951,0.45,,3,WW,0.0000,0.46,,,0.0800,
Apple,Workplace,Smartphone,77,0.17,,3,WW,0.0000,0.7900,,,,
Apple,Workplace,Smartphone,89,0.17,,3,WW,0.0000,0.7900,,,,
Apple,Workplace,Smartphone,72,0.17,,3,WW,0.0000,0.7900,,,,
Apple,Workplace,Smartphone,75,0.14,,3,WW,0.0000,0.8300,,,,
Apple,Workplace,Smartphone,85,0.14,,3,WW,0.0000,0.8300,,,,
Apple,Workplace,Smartphone,70,0.14,,3,WW,0.0000,0.8300,,,,
Apple,Workplace,Smartphone,69,0.1200,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Smartphone,112,0.1200,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Smartphone,76,0.1200,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Smartphone,88,0.1200,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Smartphone,74,0.1500,,3,WW,0.0000,0.8000,,,,
Apple,Workplace,Smartphone,117,0.1500,,3,WW,0.0000,0.8000,,,,
Apple,Workplace,Smartphone,81,0.1500,,3,WW,0.0000,0.8000,,,,
Apple,Workplace,Smartphone,93,0.1500,,3,WW,0.0000,0.8000,,,,
Apple,Workplace,Smartphone,71,0.16,,3,WW,0.0000,0.8000,,,,
Apple,Workplace,Smartphone,57,0.16,,3,WW,0.0000,0.8000,,,,
Apple,Workplace,Smartphone,62,0.12,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Smartphone,73,0.12,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Smartphone,57,0.12,,3,WW,0.0000,0.8400,,,,
Apple,Workplace,Workstation,2765,0.67,,5,WW,0.0000,0.26,,,,
Apple,Workplace,Workstation,6994,0.67,,5,WW,0.0000,0.26,,,,
Asus,Workplace,Desktop,275,0.4620,60.53,4,,0.0000,0.4160,,,,
Asus,Workplace,Laptop,113,0.3220,,4,,0.0000,,,,,
Dell,Workplace,Monitor,626,0.2570,50.9655,6,EU,0.1693,0.6070,CN,,,
Dell,Workplace,Monitor,577,0.1930,35.2155,6,EU,0.1820,0.6590,CN,,,
Dell,Workplace,Monitor,880,0.4100,114.7155,6,EU,0.1477,0.4610,CN,,,
Dell,Workplace,Monitor,934,0.3240,95.9655,6,EU,0.1563,0.5270,CN,,,
Dell,Workplace,Monitor,442.0,0.154,20.1,6.0,EU,0.224,0.821,China,,0.023,0.001
Dell,Workplace,Monitor,584.0,0.262,48.6,6.0,EU,0.2089,0.671,China,,0,0
Dell,Workplace,Monitor,602.0,0.253,48.6,6.0,EU,0.2143,0.666,China,,0,0
Dell,Workplace,Monitor,570.0,0.21899999999999997,36.88,6.0,EU,0.2053,0.644,China,,0.129,0.008
Dell,Workplace,Monitor,642.0,0.264,53.71,6.0,EU,0.1682,0.624,China,,0,0
Dell,Workplace,Monitor,620.0,0.205,37.77,6.0,EU,0.2097,0.642,China,,0.14400000000000002,0.009000000000000001
Dell,Workplace,Monitor,790.0,0.299,75.17,6.0,EU,0.1633,0.586,China,,0,0
Dell,Workplace,Monitor,2070.0,0.408,269.72,6.0,EU,0.1657,0.371,China,,0.21,0.012
Dell,Workplace,Monitor,1530.0,0.366,177.61,6.0,EU,0.1503,0.45299999999999996,China,,0,0
Dell,Workplace,Monitor,2060.0,0.465,304.41,6.0,EU,0.135,0.387,China,,0,0
Dell,Workplace,Monitor,2770.0,0.339,298.83,6.0,EU,0.5162,0.508,China,,0,0
Dell,Workplace,Monitor,3490.0,0.496,552.97,6.0,EU,0.1507,0.282,China,,0,0
Dell,Workplace,Monitor,335.0,0.22699999999999998,24.1,6.0,EU,0.197,0.698,China,,0,0
Dell,Workplace,Monitor,433.0,0.266,36.62,6.0,EU,0.1986,0.69,China,,0,0
Dell,Workplace,Monitor,401,0.2120,27.003,6,EU,0.2045,0.7220,CN,,,
Dell,Workplace,Monitor,406,0.2100,27.003,6,EU,0.2044,0.7170,CN,,,
Dell,Workplace,Monitor,352.0,0.187,21.02,6.0,EU,0.2358,0.8059999999999999,China,,0,0
Dell,Workplace,Monitor,423,0.2240,30.1905,6,EU,0.2009,0.7080,CN,,,
Dell,Workplace,Monitor,426,0.2640,35.8155,6,EU,0.1925,0.6760,CN,,,
Dell,Workplace,Monitor,401.0,0.187,23.83,6.0,EU,0.2494,0.763,China,,0,0
Dell,Workplace,Monitor,441,0.2540,35.5995,6,EU,0.1905,0.6740,CN,,,
Dell,Workplace,Monitor,440,0.2540,35.5995,6,EU,0.1955,0.6830,CN,,,
Dell,Workplace,Monitor,361,0.2500,28.7,6,EU,0.2188,0.7010,CN,,,
Dell,Workplace,Monitor,411.0,0.232,30.31,6.0,EU,0.2117,0.708,China,,0,0
Dell,Workplace,Monitor,411.0,0.22699999999999998,29.57,6.0,EU,0.2165,0.7190000000000001,China,,0,0
Dell,Workplace,Monitor,485.0,0.263,37.99,6.0,EU,0.2371,0.6609999999999999,China,,0.071,0.004
Dell,Workplace,Monitor,551.0,0.38,66.73,6.0,EU,0.1797,0.574,China,,0.044000000000000004,0.002
Dell,Workplace,Monitor,498.0,0.272,40.02,6.0,EU,0.243,0.654,China,,0.069,0.004
Dell,Workplace,Monitor,498.0,0.271,40.02,6.0,EU,0.239,0.655,China,,0.069,0.004
